Accession,FullDescription,Description,Species,Biological Process,Cellular Component,Molecular Function,WikiPathways,Reactome Pathways,KEGG Pathways
P24941,Cyclin-dependent kinase 2 OS=Homo sapiens OX=9606 GN=CDK2 PE=1 SV=2,Cyclin-dependent kinase 2,Homo sapiens,cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;DNA metabolism;other metabolic processes;stress response;developmental processes;signal transduction;other biological processes,cytosol;cytoskeleton;nucleus;other cytoplasmic organelle;other cell component,kinase activity;other molecular function,miRNA regulation of DNA damage response; Cell cycle; Thyroid stimulating hormone (TSH) signaling pathway; Glioblastoma signaling pathways; Oncostatin M signaling pathway; Spinal cord injury; Retinoblastoma gene in cancer; Aryl hydrocarbon receptor Netpath; Vitamin D receptor pathway; PI3K-Akt signaling pathway; G1 to S cell cycle control; Small cell lung cancer; DNA replication; Malignant pleural mesothelioma; Sphingolipid metabolism in senescence; ID signaling pathway; DNA damage response,"Factors involved in megakaryocyte development and platelet production; Senescence-Associated Secretory Phenotype (SASP); Meiotic recombination; DNA Damage/Telomere Stress Induced Senescence; Transcriptional regulation of granulopoiesis; Orc1 removal from chromatin; CDK-mediated phosphorylation and removal of Cdc6; SCF(Skp2)-mediated degradation of p27/p21; TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest; Regulation of TP53 Degradation; Regulation of TP53 Activity through Phosphorylation; Activation of ATR in response to replication stress; Activation of the pre-replicative complex; G2 Phase; Cyclin D associated events in G1; Defective binding of RB1 mutants to E2F1,(E2F2, E2F3); Telomere Extension By Telomerase; Regulation of APC/C activators between G1/S and early anaphase; Processing of DNA double-strand break ends; Cyclin A/B1/B2 associated events during G2/M transition; G0 and Early G1; Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes; p53-Dependent G1 DNA Damage Response; PTK6 Regulates Cell Cycle",FoxO signaling pathway; Cell cycle; Oocyte meiosis; p53 signaling pathway; PI3K-Akt signaling pathway; Cellular senescence; Progesterone-mediated oocyte maturation; Cushing syndrome; Hepatitis C; Hepatitis B; Measles; Human papillomavirus infection; Human T-cell leukemia virus 1 infection; Epstein-Barr virus infection; Pathways in cancer; Viral carcinogenesis; Prostate cancer; Small cell lung cancer; Gastric cancer
A0A087WY61,Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=1,Nuclear mitotic apparatus protein 1,Homo sapiens,,other membranes;cytosol;ER/Golgi;nucleus,,Ectoderm differentiation; Ectoderm differentiation,,
Q86Y82,Syntaxin-12 OS=Homo sapiens OX=9606 GN=STX12 PE=1 SV=1,Syntaxin-12,Homo sapiens,cell organization and biogenesis;other metabolic processes;transport;other biological processes,other membranes;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component,other molecular function,,,Phagosome
H7C0V0,"m-AAA protease-interacting protein 1, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MAIP1 PE=1 SV=1","m-AAA protease-interacting protein 1, mitochondrial (Fragment)",Homo sapiens,,,,,,
P02671,Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2,Fibrinogen alpha chain,Homo sapiens,cell adhesion;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;signal transduction;other biological processes,non-structural extracellular;plasma membrane;other membranes;ER/Golgi;other cell component,signal transduction activity or receptor binding;other molecular function,"Selenium micronutrient network; Folate metabolism; Blood clotting cascade; Complement system; VEGFA-VEGFR2 signaling pathway; Fibrin complement receptor 3 signaling pathway; COVID-19, thrombosis and anticoagulation; Network map of SARS-CoV-2 signaling pathway",ER-Phagosome pathway; Platelet degranulation ; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Post-translational protein phosphorylation; Integrin cell surface interactions; Amyloid fiber formation; Signaling by BRAF and RAF1 fusions; MyD88:MAL(TIRAP) cascade initiated on plasma membrane; MyD88 deficiency (TLR2/4); IRAK4 deficiency (TLR2/4); Regulation of TLR by endogenous ligand; Signaling by moderate kinase activity BRAF mutants; Paradoxical activation of RAF signaling by kinase inactive BRAF; Signaling downstream of RAS mutants; Signaling by RAF1 mutants; Common Pathway of Fibrin Clot Formation; MAP2K and MAPK activation; Signaling by high-kinase activity BRAF mutants; GRB2:SOS provides linkage to MAPK signaling for Integrins ; p130Cas linkage to MAPK signaling for integrins,Complement and coagulation cascades; Platelet activation; Neutrophil extracellular trap formation; Coronavirus disease
P11277,"Spectrin beta chain, erythrocytic OS=Homo sapiens OX=9606 GN=SPTB PE=1 SV=5","Spectrin beta chain, erythrocytic",Homo sapiens,cell organization and biogenesis;transport;developmental processes;signal transduction,plasma membrane;other membranes;cytosol;cytoskeleton;other cell component,cytoskeletal activity,,COPI-mediated anterograde transport; RAF/MAP kinase cascade; NCAM signaling for neurite out-growth; Interaction between L1 and Ankyrins,
Q8TAQ2,SWI/SNF complex subunit SMARCC2 OS=Homo sapiens OX=9606 GN=SMARCC2 PE=1 SV=1,SWI/SNF complex subunit SMARCC2,Homo sapiens,cell organization and biogenesis;developmental processes;other biological processes,nucleus,other molecular function,Tumor suppressor activity of SMARCB1; Thermogenesis,RMTs methylate histone arginines; RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known,Thermogenesis; Hepatocellular carcinoma
Q13618,Cullin-3 OS=Homo sapiens OX=9606 GN=CUL3 PE=1 SV=2,Cullin-3,Homo sapiens,cell-cell signaling;cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes,plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;nucleus;other cell component,signal transduction activity or receptor binding;other molecular function,Hedgehog signaling pathway; NRF2-ARE regulation; 22q11.2 copy number variation syndrome; Head and neck squamous cell carcinoma,Antigen processing: Ubiquitination & Proteasome degradation; Degradation of DVL; Hedgehog 'on' state; Regulation of RAS by GAPs; ROS sensing by NFE2L2; Neddylation; RHOBTB3 ATPase cycle; RHOBTB2 GTPase cycle; RHOBTB1 GTPase cycle,Ubiquitin mediated proteolysis; Hedgehog signaling pathway
P00740,Coagulation factor IX OS=Homo sapiens OX=9606 GN=F9 PE=1 SV=2,Coagulation factor IX,Homo sapiens,protein metabolism;other metabolic processes;stress response;transport,non-structural extracellular;plasma membrane;other membranes;ER/Golgi,other molecular function,Blood clotting cascade; Complement and coagulation cascades,Intrinsic Pathway of Fibrin Clot Formation; Defective factor IX causes thrombophilia; Defective cofactor function of FVIIIa variant; Defective F9 variant does not activate FX; Gamma-carboxylation of protein precursors; Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus; Removal of aminoterminal propeptides from gamma-carboxylated proteins; Extrinsic Pathway of Fibrin Clot Formation; Defective F9 secretion; Defective F9 activation; Defective gamma-carboxylation of F9,Complement and coagulation cascades
O43747,AP-1 complex subunit gamma-1 OS=Homo sapiens OX=9606 GN=AP1G1 PE=1 SV=5,AP-1 complex subunit gamma-1,Homo sapiens,cell organization and biogenesis;transport;other biological processes,other membranes;cytosol;ER/Golgi;other cytoplasmic organelle;other cell component,cytoskeletal activity;other molecular function,,MHC class II antigen presentation; Lysosome Vesicle Biogenesis; Golgi Associated Vesicle Biogenesis; Nef mediated downregulation of MHC class I complex cell surface expression,Lysosome; Human immunodeficiency virus 1 infection
P26447,Protein S100-A4 OS=Homo sapiens OX=9606 GN=S100A4 PE=1 SV=1,Protein S100-A4,Homo sapiens,developmental processes;other biological processes,nucleus;other cell component,signal transduction activity or receptor binding;cytoskeletal activity;other molecular function,Vitamin D receptor pathway,,
Q02413,Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2,Desmoglein-1,Homo sapiens,cell adhesion;cell organization and biogenesis;transport;developmental processes;other biological processes,plasma membrane;other membranes;cytosol;other cell component,other molecular function,,Neutrophil degranulation; Formation of the cornified envelope; RND3 GTPase cycle; Apoptotic cleavage of cell adhesion  proteins; RND2 GTPase cycle,Staphylococcus aureus infection
P01019,Angiotensinogen OS=Homo sapiens OX=9606 GN=AGT PE=1 SV=1,Angiotensinogen,Homo sapiens,cell-cell signaling;cell organization and biogenesis;developmental processes;signal transduction;other biological processes,non-structural extracellular;cytosol,signal transduction activity or receptor binding;enzyme regulator activity;other molecular function,Physiological and pathological hypertrophy of the heart; MicroRNAs in cardiomyocyte hypertrophy; Adipogenesis; IL-6 signaling pathway; Renin-angiotensin-aldosterone system (RAAS); SARS-CoV-2 and angiotensin-converting enzyme 2 receptor: molecular mechanisms; COVID-19 adverse outcome pathway; RAS and bradykinin pathways in COVID-19; ACE inhibitor pathway; Monoamine transport,G alpha (q) signalling events; Peptide ligand-binding receptors; PPARA activates gene expression; G alpha (i) signalling events; Metabolism of Angiotensinogen to Angiotensins,
F5H6I7,Atlastin-3 OS=Homo sapiens OX=9606 GN=ATL3 PE=1 SV=1,Atlastin-3,Homo sapiens,,other membranes;ER/Golgi,other molecular function,,,
Q15019,Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1,Septin-2,Homo sapiens,cell cycle OR cell proliferation;cell organization and biogenesis;developmental processes;signal transduction;other biological processes,non-structural extracellular;plasma membrane;other membranes;cytoskeleton;ER/Golgi;nucleus;other cell component,other molecular function,,Anchoring of the basal body to the plasma membrane,Bacterial invasion of epithelial cells; Shigellosis
P51888,Prolargin OS=Homo sapiens OX=9606 GN=PRELP PE=1 SV=1,Prolargin,Homo sapiens,other metabolic processes;developmental processes;other biological processes,non-structural extracellular;extracellular matrix;ER/Golgi;other cytoplasmic organelle,extracellular structural activity;other molecular function,,Keratan sulfate degradation; Keratan sulfate biosynthesis; Defective CHST6 causes MCDC1; Defective ST3GAL3 causes MCT12 and EIEE15; Defective B4GALT1 causes B4GALT1-CDG (CDG-2d),
Q5T4S7,E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens OX=9606 GN=UBR4 PE=1 SV=1,E3 ubiquitin-protein ligase UBR4,Homo sapiens,protein metabolism;other metabolic processes;transport;other biological processes,plasma membrane;other membranes;cytosol;cytoskeleton;nucleus,other molecular function,,Neutrophil degranulation; Antigen processing: Ubiquitination & Proteasome degradation,Human papillomavirus infection; Viral carcinogenesis
Q9H993,Damage-control phosphatase ARMT1 OS=Homo sapiens OX=9606 GN=ARMT1 PE=1 SV=1,Damage-control phosphatase ARMT1,Homo sapiens,protein metabolism;other metabolic processes;stress response;other biological processes,,other molecular function,,,
Q9Y230,RuvB-like 2 OS=Homo sapiens OX=9606 GN=RUVBL2 PE=1 SV=3,RuvB-like 2,Homo sapiens,cell organization and biogenesis;protein metabolism;DNA metabolism;other metabolic processes;stress response;other biological processes,other membranes;cytosol;cytoskeleton;nucleus;other cell component,nucleic acid binding activity;other molecular function,,HATs acetylate histones; Telomere Extension By Telomerase,
Q92522,Histone H1.10 OS=Homo sapiens OX=9606 GN=H1-10 PE=1 SV=1,Histone H1.10,Homo sapiens,cell organization and biogenesis;other biological processes,nucleus;other cell component,nucleic acid binding activity,,,
P02751-1,Isoform 1 of Fibronectin OS=Homo sapiens OX=9606 GN=FN1,Isoform 1 of Fibronectin,Homo sapiens,,,,,,
G3V2W1,Protein Z-dependent protease inhibitor OS=Homo sapiens OX=9606 GN=SERPINA10 PE=1 SV=1,Protein Z-dependent protease inhibitor,Homo sapiens,stress response;other biological processes,non-structural extracellular,enzyme regulator activity,Network map of SARS-CoV-2 signaling pathway,,
A0A024QZ42,"HCG1985580, isoform CRA_c OS=Homo sapiens OX=9606 GN=PDCD6 PE=1 SV=1","HCG1985580, isoform CRA_c",Homo sapiens,,,other molecular function,Epithelial to mesenchymal transition in colorectal cancer,,
P47755,F-actin-capping protein subunit alpha-2 OS=Homo sapiens OX=9606 GN=CAPZA2 PE=1 SV=3,F-actin-capping protein subunit alpha-2,Homo sapiens,cell organization and biogenesis;stress response;transport;other biological processes,non-structural extracellular;other membranes;cytosol;cytoskeleton;other cell component,cytoskeletal activity,,MHC class II antigen presentation; HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; COPI-mediated anterograde transport; COPI-independent Golgi-to-ER retrograde traffic; Sensory processing of sound by inner hair cells of the cochlea; Advanced glycosylation endproduct receptor signaling; Factors involved in megakaryocyte development and platelet production,Endocytosis
P26639,"Threonine--tRNA ligase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TARS1 PE=1 SV=3","Threonine--tRNA ligase 1, cytoplasmic",Homo sapiens,protein metabolism;RNA metabolism OR transcription;other metabolic processes,cytosol,nucleic acid binding activity;other molecular function,,Cytosolic tRNA aminoacylation,Aminoacyl-tRNA biosynthesis
Q14764,Major vault protein OS=Homo sapiens OX=9606 GN=MVP PE=1 SV=4,Major vault protein,Homo sapiens,transport;signal transduction;other biological processes,non-structural extracellular;cytosol;cytoskeleton;nucleus;other cell component,other molecular function,16p11.2 proximal deletion syndrome,Neutrophil degranulation,
K7ESQ2,Kinetochore protein Spc24 (Fragment) OS=Homo sapiens OX=9606 GN=SPC24 PE=1 SV=1,Kinetochore protein Spc24 (Fragment),Homo sapiens,cell cycle OR cell proliferation;other biological processes,nucleus;other cell component,,,,
J3KN16,Proteasome adapter and scaffold protein ECM29 OS=Homo sapiens OX=9606 GN=ECPAS PE=1 SV=1,Proteasome adapter and scaffold protein ECM29,Homo sapiens,cell organization and biogenesis,nucleus;other cell component,other molecular function,,,
Q5T093,Protein RER1 OS=Homo sapiens OX=9606 GN=RER1 PE=1 SV=1,Protein RER1,Homo sapiens,,other membranes,,,,
P43034,Platelet-activating factor acetylhydrolase IB subunit alpha OS=Homo sapiens OX=9606 GN=PAFAH1B1 PE=1 SV=2,Platelet-activating factor acetylhydrolase IB subunit alpha,Homo sapiens,cell-cell signaling;cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;transport;developmental processes;signal transduction;other biological processes,other membranes;cytosol;cytoskeleton;nucleus;other cell component,cytoskeletal activity;other molecular function,Wnt signaling pathway and pluripotency; Ciliary landscape,Separation of Sister Chromatids; Resolution of Sister Chromatid Cohesion; Recruitment of NuMA to mitotic centrosomes; RHO GTPases Activate Formins; COPI-independent Golgi-to-ER retrograde traffic; EML4 and NUDC in mitotic spindle formation; Regulation of PLK1 Activity at G2/M Transition; Loss of Nlp from mitotic centrosomes; Recruitment of mitotic centrosome proteins and complexes; Anchoring of the basal body to the plasma membrane; AURKA Activation by TPX2; Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,Ether lipid metabolism; Metabolic pathways
P00568,Adenylate kinase isoenzyme 1 OS=Homo sapiens OX=9606 GN=AK1 PE=1 SV=3,Adenylate kinase isoenzyme 1,Homo sapiens,other metabolic processes,cytosol;other cell component,kinase activity;other molecular function,,Interconversion of nucleotide di- and triphosphates,Purine metabolism; Thiamine metabolism; Metabolic pathways; Biosynthesis of cofactors
C9J4T8,Muscleblind-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=MBNL1 PE=4 SV=1,Muscleblind-like protein 1 (Fragment),Homo sapiens,,,other molecular function,,,
O15400,Syntaxin-7 OS=Homo sapiens OX=9606 GN=STX7 PE=1 SV=4,Syntaxin-7,Homo sapiens,cell organization and biogenesis;transport;other biological processes,plasma membrane;other membranes;ER/Golgi;other cytoplasmic organelle;other cell component,other molecular function,,,SNARE interactions in vesicular transport; Phagosome
V9GYM8,Guanine nucleotide exchange factor H1 OS=Homo sapiens OX=9606 GN=ARHGEF2 PE=1 SV=1,Guanine nucleotide exchange factor H1,Homo sapiens,cell cycle OR cell proliferation;stress response;developmental processes;signal transduction;other biological processes,ER/Golgi;other cell component,enzyme regulator activity,,,
O95716,Ras-related protein Rab-3D OS=Homo sapiens OX=9606 GN=RAB3D PE=1 SV=1,Ras-related protein Rab-3D,Homo sapiens,protein metabolism;other metabolic processes;transport;other biological processes,plasma membrane;other membranes;cytoskeleton;ER/Golgi;other cytoplasmic organelle;other cell component,cytoskeletal activity;other molecular function,,Neutrophil degranulation; RAB geranylgeranylation,Pancreatic secretion
B4DDF4,Calponin OS=Homo sapiens OX=9606 GN=CNN2 PE=1 SV=1,Calponin,Homo sapiens,cell organization and biogenesis,cytoskeleton,cytoskeletal activity;other molecular function,Myometrial relaxation and contraction pathways; Burn wound healing,,
P61225,Ras-related protein Rap-2b OS=Homo sapiens OX=9606 GN=RAP2B PE=1 SV=1,Ras-related protein Rap-2b,Homo sapiens,cell adhesion;stress response;transport;signal transduction;other biological processes,non-structural extracellular;plasma membrane;other membranes;cytosol;other cytoplasmic organelle;other cell component,other molecular function,,Neutrophil degranulation,
P02745,Complement C1q subcomponent subunit A OS=Homo sapiens OX=9606 GN=C1QA PE=1 SV=2,Complement C1q subcomponent subunit A,Homo sapiens,cell-cell signaling;cell organization and biogenesis;stress response;developmental processes;other biological processes,non-structural extracellular;other cell component,other molecular function,Allograft Rejection; Microglia pathogen phagocytosis pathway; Oxidative damage response; Complement system in neuronal development and plasticity; Complement activation; Complement and coagulation cascades,Initial triggering of complement; Classical antibody-mediated complement activation; Regulation of Complement cascade,Complement and coagulation cascades; Prion disease; Pertussis; Chagas disease; Staphylococcus aureus infection; Coronavirus disease; Systemic lupus erythematosus
K7EKE6,"Lon protease homolog, mitochondrial OS=Homo sapiens OX=9606 GN=LONP1 PE=1 SV=1","Lon protease homolog, mitochondrial",Homo sapiens,cell organization and biogenesis;protein metabolism;other metabolic processes;stress response,cytosol;mitochondrion;nucleus,nucleic acid binding activity;other molecular function,,,
P43652,Afamin OS=Homo sapiens OX=9606 GN=AFM PE=1 SV=1,Afamin,Homo sapiens,transport;other biological processes,non-structural extracellular;other cell component,other molecular function,,,
P11908,Ribose-phosphate pyrophosphokinase 2 OS=Homo sapiens OX=9606 GN=PRPS2 PE=1 SV=2,Ribose-phosphate pyrophosphokinase 2,Homo sapiens,other metabolic processes;developmental processes,other cell component,kinase activity;other molecular function,Nucleotide metabolism,5-Phosphoribose 1-diphosphate biosynthesis,Pentose phosphate pathway; Purine metabolism; Metabolic pathways; Carbon metabolism; Biosynthesis of amino acids
H0YCI4,Nucleosome assembly protein 1-like 4 (Fragment) OS=Homo sapiens OX=9606 GN=NAP1L4 PE=1 SV=1,Nucleosome assembly protein 1-like 4 (Fragment),Homo sapiens,cell organization and biogenesis,nucleus,,,,
Q03252,Lamin-B2 OS=Homo sapiens OX=9606 GN=LMNB2 PE=1 SV=4,Lamin-B2,Homo sapiens,,other membranes;cytoskeleton;nucleus,other molecular function,Gastric cancer network 2; Fas ligand pathway and stress induction of heat shock proteins; IL-18 signaling pathway; Familial partial lipodystrophy (FPLD); Progeria-associated lipodystrophy; Acquired partial lipodystrophy / Barraquer-Simons syndrome,,Apoptosis
H0YI36,Rho GTPase-activating protein 9 (Fragment) OS=Homo sapiens OX=9606 GN=ARHGAP9 PE=1 SV=1,Rho GTPase-activating protein 9 (Fragment),Homo sapiens,signal transduction,,,,,
P60953,Cell division control protein 42 homolog OS=Homo sapiens OX=9606 GN=CDC42 PE=1 SV=2,Cell division control protein 42 homolog,Homo sapiens,cell-cell signaling;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes,plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;other cytoplasmic organelle;other cell component,signal transduction activity or receptor binding;other molecular function,Androgen receptor signaling pathway; Target of rapamycin (TOR) signaling; Integrin-mediated cell adhesion; Integrated breast cancer pathway; RANKL/RANK signaling pathway; Leptin signaling pathway; Microtubule cytoskeleton regulation; Metastatic brain tumor; Pathogenic Escherichia coli infection; RalA downstream regulated genes; B cell receptor signaling pathway; AGE/RAGE pathway; Brain-derived neurotrophic factor (BDNF) signaling pathway; Spinal cord injury; Focal adhesion; TGF-beta signaling pathway; MAPK signaling pathway; VEGFA-VEGFR2 signaling pathway; Chemokine signaling pathway; Oxidative damage response; p38 MAPK signaling pathway; Ebola virus pathway in host; Ras signaling; Pancreatic adenocarcinoma pathway; EGF/EGFR signaling pathway; Nonalcoholic fatty liver disease; Hippo signaling regulation pathways; 22q11.2 copy number variation syndrome; Gastrin signaling pathway; Regulation of actin cytoskeleton; G13 signaling pathway; T-cell receptor (TCR) signaling pathway; DNA damage response (only ATM dependent),MAPK6/MAPK4 signaling; RHO GTPases Activate Formins; Regulation of actin dynamics for phagocytic cup formation; FCGR3A-mediated phagocytosis; RHO GTPases Activate WASPs and WAVEs; EPHB-mediated forward signaling; Myogenesis; EGFR downregulation; Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation; CDC42 GTPase cycle; RAC1 GTPase cycle; RHOQ GTPase cycle; RHOG GTPase cycle; RAC2 GTPase cycle; RAC3 GTPase cycle; RHOJ GTPase cycle; RHO GTPases activate IQGAPs; VEGFA-VEGFR2 Pathway; Factors involved in megakaryocyte development and platelet production; RHOV GTPase cycle; RHOU GTPase cycle; DCC mediated attractive signaling; GPVI-mediated activation cascade; G beta:gamma signalling through CDC42; RHO GTPases activate PAKs; Inactivation of CDC42 and RAC1; CD28 dependent Vav1 pathway; RHO GTPases activate KTN1,MAPK signaling pathway; Ras signaling pathway; Rap1 signaling pathway; Chemokine signaling pathway; Endocytosis; Axon guidance; VEGF signaling pathway; Focal adhesion; Adherens junction; Tight junction; T cell receptor signaling pathway; Fc gamma R-mediated phagocytosis; Leukocyte transendothelial migration; Neurotrophin signaling pathway; Regulation of actin cytoskeleton; GnRH signaling pathway; Non-alcoholic fatty liver disease; AGE-RAGE signaling pathway in diabetic complications; Bacterial invasion of epithelial cells; Epithelial cell signaling in Helicobacter pylori infection; Pathogenic Escherichia coli infection; Shigellosis; Salmonella infection; Yersinia infection; Human papillomavirus infection; Pathways in cancer; Viral carcinogenesis; Proteoglycans in cancer; Renal cell carcinoma; Pancreatic cancer; Lipid and atherosclerosis
Q15149,Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3,Plectin,Homo sapiens,cell organization and biogenesis;stress response,plasma membrane;other membranes;cytosol;cytoskeleton;other cell component,cytoskeletal activity;other molecular function,Envelope proteins and their potential roles in EDMD physiopathology,Assembly of collagen fibrils and other multimeric structures; Type I hemidesmosome assembly; Caspase-mediated cleavage of cytoskeletal proteins,
Q9Y617,Phosphoserine aminotransferase OS=Homo sapiens OX=9606 GN=PSAT1 PE=1 SV=2,Phosphoserine aminotransferase,Homo sapiens,other metabolic processes,cytosol;other cell component,other molecular function,Trans-sulfuration and one-carbon metabolism; Clear cell renal cell carcinoma pathways; Metabolic reprogramming in colon cancer; Male infertility; Neuroinflammation and glutamatergic signaling,Serine biosynthesis,"Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Vitamin B6 metabolism; Metabolic pathways; Carbon metabolism; Biosynthesis of amino acids; Biosynthesis of cofactors"
K7EIE8,"Methyl-CpG binding domain protein 3, isoform CRA_b OS=Homo sapiens OX=9606 GN=MBD3 PE=1 SV=1","Methyl-CpG binding domain protein 3, isoform CRA_b",Homo sapiens,,nucleus,nucleic acid binding activity,Effect of progerin on genes involved in Hutchinson-Gilford progeria syndrome,,
G3V1V0,Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=1,Myosin light polypeptide 6,Homo sapiens,,,other molecular function,Ciliary landscape,,
Q14157-1,Isoform 2 of Ubiquitin-associated protein 2-like OS=Homo sapiens OX=9606 GN=UBAP2L,Isoform 2 of Ubiquitin-associated protein 2-like,Homo sapiens,,,,,,
O95232,Luc7-like protein 3 OS=Homo sapiens OX=9606 GN=LUC7L3 PE=1 SV=2,Luc7-like protein 3,Homo sapiens,cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes,nucleus,nucleic acid binding activity,,,
P02675,Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2,Fibrinogen beta chain,Homo sapiens,cell adhesion;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;signal transduction;other biological processes,non-structural extracellular;plasma membrane;other membranes;ER/Golgi;other cell component,signal transduction activity or receptor binding;other molecular function,"Selenium micronutrient network; Folate metabolism; Blood clotting cascade; Complement system; VEGFA-VEGFR2 signaling pathway; Fibrin complement receptor 3 signaling pathway; COVID-19, thrombosis and anticoagulation; Network map of SARS-CoV-2 signaling pathway; Complement and coagulation cascades",ER-Phagosome pathway; Common Pathway of Fibrin Clot Formation; Platelet degranulation ; Integrin cell surface interactions; Signaling by BRAF and RAF1 fusions; MyD88:MAL(TIRAP) cascade initiated on plasma membrane; MyD88 deficiency (TLR2/4); IRAK4 deficiency (TLR2/4); Regulation of TLR by endogenous ligand; Signaling by moderate kinase activity BRAF mutants; Paradoxical activation of RAF signaling by kinase inactive BRAF; Signaling downstream of RAS mutants; Signaling by RAF1 mutants; MAP2K and MAPK activation; Signaling by high-kinase activity BRAF mutants; GRB2:SOS provides linkage to MAPK signaling for Integrins ; p130Cas linkage to MAPK signaling for integrins,Complement and coagulation cascades; Platelet activation; Neutrophil extracellular trap formation; Coronavirus disease
P49755,Transmembrane emp24 domain-containing protein 10 OS=Homo sapiens OX=9606 GN=TMED10 PE=1 SV=2,Transmembrane emp24 domain-containing protein 10,Homo sapiens,cell organization and biogenesis;transport;developmental processes;other biological processes,plasma membrane;other membranes;ER/Golgi;other cell component,transporter activity;other molecular function,mRNA processing,COPI-dependent Golgi-to-ER retrograde traffic; COPI-mediated anterograde transport; COPII-mediated vesicle transport; Cargo concentration in the ER,Pathogenic Escherichia coli infection
Q9NR31,GTP-binding protein SAR1a OS=Homo sapiens OX=9606 GN=SAR1A PE=1 SV=1,GTP-binding protein SAR1a,Homo sapiens,cell organization and biogenesis;transport;other biological processes,other membranes;ER/Golgi,other molecular function,Sterol regulatory element-binding proteins (SREBP) signaling,,Protein processing in endoplasmic reticulum; Legionellosis
F5GYQ1,V-type proton ATPase subunit OS=Homo sapiens OX=9606 GN=ATP6V0D1 PE=1 SV=1,V-type proton ATPase subunit,Homo sapiens,transport;developmental processes,plasma membrane;other membranes;ER/Golgi;other cytoplasmic organelle;other cell component,transporter activity;other molecular function,,,
O75534,Cold shock domain-containing protein E1 OS=Homo sapiens OX=9606 GN=CSDE1 PE=1 SV=2,Cold shock domain-containing protein E1,Homo sapiens,cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes;developmental processes;other biological processes,plasma membrane;other membranes;cytosol;ER/Golgi;other cell component,nucleic acid binding activity,,,
P10909,Clusterin OS=Homo sapiens OX=9606 GN=CLU PE=1 SV=1,Clusterin,Homo sapiens,cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes,non-structural extracellular;other membranes;cytosol;mitochondrion;ER/Golgi;nucleus;other cell component,signal transduction activity or receptor binding;cytoskeletal activity;other molecular function,Male infertility; Complement system in neuronal development and plasticity; Complement and coagulation cascades,Platelet degranulation ; Regulation of Complement cascade; Terminal pathway of complement; Antimicrobial peptides,Complement and coagulation cascades
A6NEP9,Tetraspanin (Fragment) OS=Homo sapiens OX=9606 GN=TSPAN14 PE=1 SV=2,Tetraspanin (Fragment),Homo sapiens,,other membranes,,,,
E9PK54,Heat shock cognate 71 kDa protein (Fragment) OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=8,Heat shock cognate 71 kDa protein (Fragment),Homo sapiens,,,other molecular function,,,
Q5STX8,Allograft inflammatory factor 1 (Fragment) OS=Homo sapiens OX=9606 GN=AIF1 PE=1 SV=1,Allograft inflammatory factor 1 (Fragment),Homo sapiens,cell organization and biogenesis;stress response;transport;developmental processes;signal transduction;other biological processes,plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component,cytoskeletal activity;other molecular function,Acute viral myocarditis,,
